3pm0,2nnj,1po5,6j95,6mjm,3r9b,3k9v,3aba,3vm4,2x5l,1z8o,3rwl,4yzr,4mm0,1ued,6u30,3s79,6fyj,4c28,4i8v,5dqn,4l0f,2w0b,4lxj,5jlc,3c6g,4e2p,6l8h,2xkr,3mgx,1jfb,6mcw,2wm4,5foi,6a17,3tbg,2rfb,5l1s,5tz1,3zkp,5hiw,2d09,4ubs,2hi4,4l6g,4i91,3cv8,1dz9,2q9f,5ylw,2zqx,5o4k,2ciw,3nc3,4yt3,4eji,3mzs,2ve3,4ep6,6cr2,1nr6,5l92,6b11,6gk5,3swz,3abb,4nz2,4g3j,5hdi,1tqn,2z3t,3vrm,4ggv,3wsp,4tvf,4tt5,6g5o,3t3z,3b4x
0,0.050353317,0.031744118,0.033417265,0.040707999,0.048492922,0.058795955,0.043066028,0.071796921,0.058196644,0.068680667,0.055566567,0.035542079,0.059527021,0.066490495,0.055282519,0.064750464,0.05202142,0.04015849,0.02847434,0.053088599,0.072784583,0.044208852,0.041249736,0.048971184,0.029037626,0.053361935,0.041248343,0.070190115,0.058243147,0.072138447,0.087724967,0.047456299,0.034023986,0.082648156,0.035519027,0.069947243,0.052858294,0.036499726,0.071306477,0.063026954,0.084970184,0.034929985,0.061423082,0.084728497,0.038936306,0.054424522,0.070058884,0.043804651,0.04810791,0.057480626,0.065718116,0.029175763,0.081909418,0.038211301,0.038191923,0.072072318,0.050570569,0.069009419,0.031006704,0.029982711,0.041830595,0.033668765,0.054468061,0.048895193,0.037738543,0.048379416,0.055625152,0.062817138,0.03960845,0.053567842,0.056178767,0.077861091,0.06465593,0.04357442,0.052152957,0.060471139,0.040789667,0.046685427
0.050353317,0,0.057044248,0.041516829,0.022254059,0.058729475,0.06687274,0.064045798,0.070411567,0.038051063,0.064014033,0.031962806,0.041291262,0.065735496,0.052330876,0.064088349,0.062786991,0.055768242,0.060414067,0.045297378,0.030215251,0.042464658,0.051563052,0.041078093,0.049616921,0.039205546,0.041338123,0.038318638,0.044541789,0.049526487,0.087549827,0.101544069,0.051148952,0.069270806,0.096947751,0.016469283,0.044453096,0.051465132,0.063905191,0.08177005,0.036621592,0.066598492,0.063205266,0.078977185,0.079572801,0.062209161,0.073558633,0.077790857,0.069411719,0.05215294,0.073307371,0.068784795,0.063210894,0.072944553,0.039875761,0.062503022,0.079450767,0.067802224,0.069798285,0.053147425,0.022017087,0.057456702,0.065174647,0.067107118,0.054479044,0.026171499,0.022125776,0.082379054,0.042099217,0.022856465,0.055034344,0.052302264,0.085526689,0.086739884,0.037333986,0.056062742,0.049634498,0.066892289,0.063842239
0.031744118,0.057044248,0,0.037525531,0.039845211,0.026587749,0.064209033,0.025777124,0.056236012,0.053982062,0.065553383,0.054886646,0.024844611,0.039863074,0.085369119,0.03414156,0.094932555,0.040817476,0.030282829,0.024774993,0.047073141,0.08757555,0.033788797,0.04456496,0.050365386,0.038719514,0.051599808,0.0390992,0.090911092,0.08458809,0.079433939,0.071824938,0.043809063,0.013574057,0.058339445,0.040956827,0.092240845,0.039816116,0.04176151,0.048066336,0.078612982,0.060756482,0.022262372,0.045887655,0.064349905,0.021214333,0.04845877,0.03857735,0.025183078,0.057575461,0.064705736,0.041750035,0.027726134,0.06900659,0.039810008,0.028701526,0.064875719,0.034399028,0.079042022,0.039166344,0.036925906,0.019656018,0.020349156,0.030638994,0.03109798,0.039885891,0.056020248,0.037921036,0.071170012,0.04624772,0.066364918,0.040062362,0.052099927,0.040228196,0.039064883,0.059191198,0.080674174,0.019430685,0.018263718
0.033417265,0.041516829,0.037525531,0,0.021721991,0.028317655,0.025839307,0.032682865,0.046370406,0.045627318,0.033343328,0.033869865,0.023240626,0.043083652,0.055613837,0.041054546,0.051599884,0.027948517,0.047022894,0.026873994,0.032238573,0.043696027,0.036623542,0.02877148,0.036781543,0.02029705,0.054033474,0.031544255,0.05257228,0.053353337,0.046127191,0.107714838,0.025024922,0.042782237,0.09503313,0.030074512,0.052600002,0.034669045,0.026533763,0.077857192,0.044267615,0.055807478,0.031262677,0.069259369,0.061854017,0.038289884,0.026227155,0.07365874,0.06604867,0.02483546,0.038971793,0.059091651,0.041667163,0.080029536,0.03223081,0.047288062,0.038660774,0.041187794,0.042652005,0.02449363,0.023055595,0.032954077,0.03034534,0.045527949,0.036542261,0.023372695,0.034675993,0.071548444,0.034800348,0.03487716,0.026891039,0.031425378,0.062593343,0.074845949,0.031273019,0.031190771,0.049569595,0.054572906,0.041948234
0.040707999,0.022254059,0.039845211,0.021721991,0,0.035519721,0.037455393,0.040411925,0.042678049,0.02779515,0.036169413,0.021636991,0.023754599,0.042766495,0.045440003,0.03976688,0.05328931,0.033092538,0.048267105,0.029029612,0.020694901,0.038983155,0.03674313,0.024153935,0.039622455,0.027731912,0.044992687,0.022681989,0.041092005,0.054470344,0.056288887,0.089586888,0.030880855,0.044277579,0.077645295,0.021083981,0.04859183,0.039230309,0.038807387,0.067457655,0.035203239,0.047530174,0.039921542,0.058208881,0.053281768,0.039635223,0.042104388,0.061362633,0.058648941,0.035002001,0.042619041,0.045119363,0.049631398,0.056048761,0.025404355,0.050457329,0.051130781,0.044611099,0.051386659,0.036129326,0.017038308,0.035275645,0.041471371,0.045945572,0.035677426,0.014423376,0.023242843,0.071918013,0.029814683,0.016826178,0.034321416,0.029274034,0.059871743,0.066755927,0.028166085,0.037134749,0.039185455,0.056034417,0.04613809
0.048492922,0.058729475,0.026587749,0.028317655,0.035519721,0,0.051596314,0.020121964,0.038745202,0.049798498,0.045814955,0.04769088,0.016857309,0.031704038,0.083647513,0.017874378,0.090601727,0.020113612,0.039109186,0.020159516,0.040767677,0.075610018,0.027490677,0.041222598,0.04642076,0.034146145,0.05891802,0.036726901,0.084341341,0.093107797,0.06590834,0.08463755,0.030059097,0.025298913,0.072200259,0.047362099,0.087133507,0.031515697,0.040350302,0.057653899,0.077836081,0.041057091,0.023187376,0.041714085,0.044098951,0.021316241,0.026520129,0.043156366,0.045971215,0.051580619,0.053027033,0.035815156,0.037259639,0.068501662,0.043031696,0.030745004,0.049283624,0.020072502,0.065081322,0.043826745,0.037751145,0.012017357,0.024438225,0.021612596,0.018229572,0.037697136,0.052244139,0.052488214,0.063154964,0.049674525,0.054326216,0.019226021,0.037833157,0.055096636,0.036421136,0.041356662,0.078647057,0.037478757,0.02178242
0.058795955,0.06687274,0.064209033,0.025839307,0.037455393,0.051596314,0,0.052281343,0.055351713,0.073436916,0.047491625,0.051642867,0.053383718,0.072505491,0.055902099,0.074450329,0.04298564,0.047951384,0.080469821,0.055519443,0.059387367,0.049981992,0.073608884,0.04992976,0.060199783,0.047179731,0.093526359,0.059666921,0.055180128,0.070412637,0.038981172,0.140929497,0.047939505,0.066434394,0.140673918,0.051707378,0.05669841,0.060683553,0.038495469,0.112064482,0.053474742,0.085290623,0.041400804,0.105167185,0.081682984,0.065032144,0.032780099,0.109581348,0.101639931,0.041428077,0.032687765,0.089439087,0.068606465,0.109665442,0.052375288,0.082366868,0.05332994,0.068400195,0.043951521,0.041086671,0.043382074,0.063826984,0.042529784,0.08054091,0.070466248,0.037617922,0.05709629,0.110687593,0.040591171,0.057551057,0.031021659,0.054576927,0.089748106,0.114115804,0.056604375,0.053625381,0.049826125,0.089490344,0.07477064
0.043066028,0.064045798,0.025777124,0.032682865,0.040411925,0.020121964,0.052281343,0,0.04453071,0.059198362,0.050024804,0.056662721,0.019563311,0.036771608,0.088182563,0.029969528,0.091391462,0.033126915,0.031944219,0.025634118,0.047484875,0.079380528,0.031355747,0.047910288,0.048870151,0.036017575,0.062512814,0.041318562,0.090150715,0.088827866,0.071846289,0.083823897,0.041377881,0.027194676,0.079550599,0.046170472,0.091239557,0.036670717,0.039256719,0.063098012,0.080603073,0.064506535,0.022163014,0.053543588,0.058877215,0.030942893,0.027180559,0.044945167,0.037830241,0.054234951,0.062610948,0.044036966,0.033640423,0.079594825,0.043837593,0.028160505,0.056229597,0.028429582,0.06796296,0.042798884,0.04066978,0.021295853,0.026065804,0.03517486,0.029360488,0.040726953,0.059396803,0.039453487,0.06252859,0.058441332,0.060724733,0.039078466,0.048458273,0.061352683,0.038419982,0.049660744,0.081828083,0.03057947,0.027414
0.071796921,0.070411567,0.056236012,0.046370406,0.042678049,0.038745202,0.055351713,0.04453071,0,0.05450271,0.033293207,0.05507483,0.038233129,0.037849603,0.091591569,0.037084559,0.104603742,0.025151922,0.060191287,0.054448386,0.045191138,0.087124417,0.052799483,0.065644951,0.080105655,0.062429923,0.097385805,0.050217268,0.094993841,0.107547655,0.051571673,0.097681084,0.050100132,0.048853107,0.091554143,0.065427929,0.105240926,0.063588178,0.07106255,0.066666703,0.087725119,0.05782435,0.048966405,0.066945253,0.026770895,0.057369876,0.033279695,0.055293894,0.070668346,0.078167469,0.042033492,0.037140356,0.073909878,0.065328571,0.065160648,0.071839832,0.07353703,0.042240384,0.062683526,0.074793407,0.048377753,0.048582949,0.054243827,0.047003172,0.047758273,0.045066113,0.057249048,0.074038659,0.058223706,0.063892519,0.071305091,0.03231387,0.039998297,0.066078497,0.04094959,0.070268673,0.095875062,0.075006925,0.045190877
0.058196644,0.038051063,0.053982062,0.045627318,0.02779515,0.049798498,0.073436916,0.059198362,0.05450271,0,0.054376586,0.019435204,0.0361799,0.039949635,0.053161874,0.038916726,0.096630263,0.043419284,0.043484132,0.041432934,0.012269978,0.062175433,0.035841141,0.037585925,0.065441279,0.04671216,0.041710965,0.025260734,0.060372321,0.06772745,0.080312229,0.062491957,0.036977953,0.056979022,0.063012332,0.036851383,0.068595012,0.066205507,0.076281343,0.051985396,0.050957322,0.059965256,0.064095636,0.043414381,0.048981489,0.051045829,0.063876945,0.059849598,0.059148588,0.067178013,0.065999719,0.043860114,0.06046225,0.031278746,0.035541428,0.061533392,0.089247207,0.047287743,0.090293711,0.061381043,0.032313542,0.046148878,0.064220995,0.042646344,0.042788506,0.024699583,0.025895161,0.064104826,0.036980853,0.032994052,0.075412453,0.034997253,0.053697539,0.055099575,0.021014194,0.071619127,0.062768251,0.071348183,0.053022898
